ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A,E=28|L=0,8640,7560,5,2,2,2
B,E=28|L=0,8640,7560,5,2,2,2
C,E=28|L=14,8640,7560,5,2,2,2
D,E=28|L=14,8640,7560,5,2,2,2
E,E=28|L=0,8640,7560,5,2,2,2
F,E=28|L=14,8640,7560,5,2,2,2
G,E=28|L=14,8640,7560,5,2,2,2
H,E=28|L=14,8640,7560,5,2,2,2
I,E=28|L=14,8640,7560,5,2,2,2
J,E=28|L=14,8640,7560,5,2,2,2
K,E=28|L=0,8640,7560,6,2,3,3
L,E=28|L=0,8640,7560,6,2,3,3
M,E=28|L=14,8640,7560,6,2,3,3
N,E=28|L=0,8640,7560,6,2,3,3
O,E=28|L=14,8640,7560,6,2,3,3
P,E=28|L=14,8640,7560,6,2,3,3
